name,region,address
합천 영상테마파크,경남 합천군,경상남도 합천군 합천읍 동서로 119
매미성,경남 거제시,경상남도 거제시 장목면 복항길
외도 보타니아,경남 거제시,경상남도 거제시 일운면 외도길 17
바람의 언덕,경남 거제시,경상남도 거제시 남부면 도장포마을
섬이정원,경남 남해군,경상남도 남해군 남면 남면로 1534-110
독일마을,경남 남해군,경상남도 남해군 삼동면 독일로 92
만어사,경남 밀양시,경상남도 밀양시 삼랑진읍 만어로 776
가천 다랭이마을,경남 남해군,경남 남해군 남면 홍현리 남면로 679번길 21
거제도 포로수용소 유적공원,경남 거제시,경상남도 거제시 계룡로 61
매물도,경남 통영시,경상남도 통영시 한산면 매물도대항길
금산 보리암(남해),경남 남해군,경상남도 남해군 상주면 보리암로 665
경화역 벚꽃길,경남 창원시,경상남도 창원시 진해구 진해대로 649
수선사,경남 산청군,경상남도 산청군 산청읍 웅석봉로154번길 102-23
여좌천(벚꽃명소),경남 창원시,경상남도 창원시 진해구 여좌동
안민고개,경남 창원시,경상남도 창원시 성산구 안민동 장복산 일대
달빛쌈지공원,경남 밀양시,경상남도 밀양시 밀양대로 2047
실리도,경남 창원시,경상남도 창원시 마산합포구 구산면 실리섬길 25
저도 콰이강의 다리 스카이워크,경남 창원시,경상남도 창원시 마산합포구 구산면 해양관광로 1872-60
신선대 전망대,경남 거제시,경상남도 거제시 남부면 갈곶리
비진도,경남 통영시,경상남도 통영시 한산면
대장경테마파크,경남 합천군,경상남도 합천군 가야면 야천리 996
거제도 해금강,경남 거제시,경상남도 거제시 남부면 갈곶리
한려수도 조망케이블카,경남 통영시,경상남도 통영시 발개로 205
위양지(양양지),경남 밀양시,경상남도 밀양시 부북면 위양로 273-36
국립 남해편백자연휴양림,경남 남해군,경상남도 남해군 삼동면 금암로 658
적석산,경남 창원시,경상남도 창원시 마산합포구 진전면 적석산길
십리벚꽃길,경남 하동군,경상남도 하동군 화개면 화개로 142
트윈터널,경남 밀양시,경상남도 밀양시 삼랑진읍 삼랑진로 537-11
봉황대(의령),경남 의령군,경상남도 의령군 궁류면 평촌리 산 62
해저터널(통영),경남 통영시,경상남도 통영시 당동
화왕산군립공원,경남 창녕군,경상남도 창녕군 창녕읍 옥천리
달아공원,경남 통영시,경상남도 통영시 산양읍 산양일주로 1115
지심도,경남 거제시,경상남도 거제시 일운면 지심도길 31-2
이수도(거제),경남 거제시,경상남도 거제시 장목면 이수도길 10
해인사(합천),경남 합천군,경상남도 합천군 가야면 해인사길 122
동피랑마을,경남 통영시,경상남도 통영시 동피랑1길 6-18
욕지도 (유동어촌체험마을),경남 통영시,경상남도 통영시 욕지면 욕지일주로 1148-115
원예예술촌,경남 남해군,경상남도 남해군 삼동면 예술길 39
삼성궁,경남 하동군,경상남도 하동군 청암면 삼성궁길 85
신수도,경남 사천시,경상남도 사천시 신수서길 1-46
통영밤바다 야경투어,경남 통영시,경상남도 통영시 도남로 269-20
편백나무숲속 나폴리농원,경남 통영시,경남 통영시 산양읍 영운리 미륵산길 152
무지갯빛 해안도로,경남 사천시,경상남도 사천시 용현면
연화도(통영),경남 통영시,경상남도 통영시 욕지면 연화도
호박소계곡,경남 밀양시,경상남도 밀양시 산내면 얼음골로 334-1
거제 대우조선해양 옥포조선소,경남 거제시,경상남도 거제시 거제대로 3370
거제맹종죽테마공원,경남 거제시,경상남도 거제시 하청면 거제북로 700
사량도,경남 통영시,경상남도 통영시 사량면 진촌2길
학동흑진주몽돌해변,경남 거제시,경상남도 거제시 동부면 학동6길 18-1
사천바다 케이블카,경남 사천시,경상남도 사천시 사천대로 18
진해내수면 환경생태공원,경남 창원시,경상남도 창원시 진해구 여명로71번길 65
장승포항,경남 거제시,경상남도 거제시 장승로 138
상족암군립공원,경남 고성군,경상남도 고성군 하이면 덕명5길 42-23
창녕 우포늪,경남 창녕군,경상남도 창녕군 유어면 우포늪길 220
통도사[유네스코 세계문화유산],경남 양산시,경상남도 양산시 하북면 통도사로 108
만지도,경남 통영시,경상남도 통영시 산양읍 만지길 3
한우산,경남 의령군,경남 의령군 궁류면 벽계리
남해 물건리 방조어부림,경남 남해군,경상남도 남해군 삼동면 물건리
사천 항공우주박물관,경남 사천시,경상남도 사천시 사남면 공단1로 78
밀양 꽃새미마을,경남 밀양시,경상남도 밀양시 초동면 방동안길 22
양산천 구름다리,경남 양산시,경상남도 양산시 양산대로 849
가야산 소리길,경남 합천군,경상남도 합천군 가야면 가야산로 1783
소매물도,경남 통영시,경상남도 통영시 한산면 소매물도길 65
창원해양공원,경남 창원시,경상남도 창원시 진해구 명동로 62
남해 문항어촌체험마을,경남 남해군,경상남도 남해군 설천면 강진로206번길 54-19
대방진굴항,경남 사천시,경상남도 사천시 굴항길 99
설리 해수욕장,경남 남해군,경상남도 남해군 미조면 미송로303번길 70
한산도,경남 통영시,경상남도 통영시 한산면
삼천포대교공원,경남 사천시,경상남도 사천시 사천대로 17
황매산군립공원,경남 합천군,경상남도 합천군 가회면 황매산공원길 331
밀양 얼음골,경남 밀양시,경상남도 밀양시 산내면 산내로 1647
진해보타닉뮤지엄,경남 창원시,경상남도 창원시 진해구 진해대로1137번길 89
최참판댁,경남 하동군,경상남도 하동군 악양면 평사리길 66-7
상림공원,경남 함양군,경상남도 함양군 함양읍 필봉산길 49
주남저수지(철새도래지),경남 창원시,경상남도 창원시 의창구 동읍 주남로101번길 26
한우산 산악 드라이브길,경남 의령군,경상남도 의령군 대의면
단장 이팝꽃 터널길,경남 밀양시,경상남도 밀양시 단장면
제황산공원,경남 창원시,경상남도 창원시 진해구 중원동로 52
마금산원탕,경남 창원시,경상남도 창원시 의창구 북면 천주로 1167
남해 홍현마을,경남 남해군,경상남도 남해군 남면 남면로353번길 9-7
진주성,경남 진주시,경상남도 진주시 남강로 626
내도(거제),경남 거제시,경상남도 거제시 일운면 내도길 1
쌍계사(하동),경남 하동군,경상남도 하동군 화개면 쌍계사길 59
상상양떼목장 편백숲,경남 남해군,경상남도 남해군 설천면 설천로775번길 37-9
우도,경남 창원시,경상남도 창원시 진해구 우도로 5
경상남도수목원,경남 진주시,경상남도 진주시 이반성면 수목원로 386
남사예담촌,경남 산청군,경상남도 산청군 단성면 지리산대로2897번길 10
창원 편백 치유의 숲,경남 창원시,경상남도 창원시 진해구 장복산길 47
기회송림,경남 밀양시,경상남도 밀양시 산외면 남기리
거제 학동리 동백나무 숲 및 팔색조 번식지,경남 거제시,경남 거제시 동부면 학동리
천태산,경남 양산시,경상남도 양산시 원동면
황매산(산청),경남 산청군,경상남도 산청군 차황면 황매산로1202번길
설천 남해해안도로,경남 남해군,경상남도 남해군 설천면
밀양 영남루,경남 밀양시,경상남도 밀양시 중앙로 324
당항포관광지,경남 고성군,경상남도 고성군 회화면 당항만로 1116
해금강유람선,경남 거제시,경상남도 거제시 남부면 해금강로 270
김해 롯데워터파크,경남 김해시,경상남도 김해시 장유로 555
지리산 가는길,경남 함양군,경상남도 함양군 휴천면
삼천포유람선,경남 사천시,경상남도 사천시 유람선길 70
"진양호 공원 (진양호 전망대, 동물원)",경남 진주시,경상남도 진주시 남강로1번길 130
이순신공원,경남 통영시,경상남도 통영시 멘데해안길 205
창선교와 원시어업 죽방렴,경남 남해군,경상남도 남해군 삼동면 지족리
연대도,경남 통영시,경상남도 통영시 산양읍 연대길
가고파 꼬부랑길 벽화마을,경남 창원시,경상남도 창원시 마산합포구 성호서7길 15-8
한려해상국립공원(한려수도),경남 거제시,경상남도 사천시 용현면 대밭담로 5-9
산방산비원,경남 거제시,경상남도 거제시 둔덕면 산방산길 153
다솔사(경남),경남 사천시,경상남도 사천시 곤명면 다솔사길 417
장사도 유람선,경남 거제시,경상남도 거제시 남부면 근포1길 71
서피랑 마을,경남 통영시,경상남도 통영시 서호동
의신마을,경남 하동군,경상남도 하동군 화개면 대성리
소쿠리섬,경남 창원시,경상남도 창원시 진해구 명동
거제 계도어촌체험마을,경남 거제시,경상남도 거제시 사등면 가조로 837
입곡 저수지 드라이브길,경남 함안군,경상남도 함안군 산인면 입곡공원길 225
부곡온천 관광특구,경남 창녕군,경상남도 창녕군 부곡면 온천중앙로 77
남망산 조각공원,경남 통영시,경상남도 통영시 남망길 139
해바리마을,경남 남해군,경상남도 남해군 창선면 서부로 255-4
남해 관음포 이충무공 유적,경남 남해군,경상남도 남해군 고현면 남해대로 3829
가조 백두산천지온천,경남 거창군,경상남도 거창군 가조면 온천길 161
표충사(밀양),경남 밀양시,경상남도 밀양시 단장면 표충로 1338
창원솔라타워,경남 창원시,경상남도 창원시 진해구 명동로 62
산청 동의보감촌,경남 산청군,경상남도 산청군 금서면 동의보감로555번길 45-6
구조라해수욕장,경남 거제시,경상남도 거제시 일운면
거제자연휴양림,경남 거제시,경상남도 거제시 동부면 거제중앙로 325
법기수원지,경남 양산시,경상남도 양산시 동면 법기로 198-13
남해대교,경남 남해군,경상남도 남해군 설천면 노량리
상주은모래비치,경남 남해군,경상남도 남해군 상주면 상주로 10-3
마산 오동동 아구찜거리,경남 창원시,경상남도 창원시 마산합포구 아구찜길 20
도장포어촌체험마을,경남 거제시,경상남도 거제시 남부면 도장포1길 76
장어구이 거리,경남 창원시,경상남도 창원시 마산합포구 수산1길 74
장사도해상공원,경남 통영시,경상남도 통영시 한산면 장사도길 55
소매물도 등대,경남 통영시,경상남도 통영시 한산면 소매물도길 246
평인 노을길,경남 통영시,경상남도 통영시 평인일주로 132
강주연못,경남 진주시,경상남도 진주시 정촌면 예하리
항도몽돌해수욕장과 항도방파제,경남 남해군,경상남도 남해군 미조면 송정리
여차 홍포전망대,경남 거제시,경상남도 거제시 남부면 다포리
하동송림,경남 하동군,경상남도 하동군 하동읍 섬진강대로 2107-8
비토섬,경남 사천시,경상남도 사천시 서포면 비토안길 104-16
사량도 지리산,경남 통영시,경상남도 통영시 사량면 돈지리
통영 세병관,경남 통영시,경상남도 통영시 세병로 27
경남 하동 악양 [슬로시티],경남 하동군,경상남도 하동군 악양면 악양서로 357
해오름예술촌,경남 남해군,경상남도 남해군 삼동면 동부대로 995
칠선계곡(지리산),경남 함양군,경상남도 함양군 마천면 추성리
동해 해안길,경남 고성군,경상남도 고성군 동해면
청암 하동호 산중호수길,경남 하동군,경상남도 하동군 청암면
가야산국립공원,경남 합천군,경상남도 합천군 가야면 가야산로 1200
계룡산 온천,경남 거제시,경상남도 거제시 거제중앙로 1779-1
창동예술촌,경남 창원시,경상남도 창원시 마산합포구 오동서6길 24
남해 유포어촌체험마을,경남 남해군,경상남도 남해군 서면 남서대로2381번길 60
하동 대도어촌체험마을,경남 하동군,경남 하동군 금남면 대도리 98
남해 양모리학교,경남 남해군,경상남도 남해군 설천면 설천로775번길 256-17
용암서원(합천),경남 합천군,경상남도 합천군 삼가면 남명로 72-5
거창 수승대,경남 거창군,경상남도 거창군 위천면 은하리길 2
가지산도립공원(밀양),경남 밀양시,경상남도 밀양시 산내면 삼양리
촉석루,경남 진주시,경상남도 진주시 남강로 626
다슬기 초량마을,경남 사천시,경상남도 사천시 곤명면 초량길 27-3
내원사계곡,경남 양산시,경상남도 양산시 하북면 내원로 207
화방사(남해),경남 남해군,경상남도 남해군 고현면 화방사길 128-6
개평한옥마을,경남 함양군,경상남도 함양군 지곡면 개평길 59
대도,경남 하동군,경상남도 하동군 금남면 대도길 122
봉암해수욕장,경남 통영시,경상남도 통영시 한산면 봉암2길 46-42
산청 전 구형왕릉,경남 산청군,경남 산청군 금서면 구형왕릉로
사천선진리왜성,경남 사천시,경상남도 사천시 용현면 선진리
칠불사(하동),경남 하동군,경상남도 하동군 화개면 범왕길 528
김해가야테마파크,경남 김해시,경상남도 김해시 가야테마길 161
월봉서원,경남 김해시,경상남도 김해시 덕정로77번길 11-12
입곡군립공원,경남 함안군,경상남도 함안군 산인면 입곡공원길
창녕 우포가시연꽃마을,경남 창녕군,경상남도 창녕군 대합면 닭계1길 12
김해천문대,경남 김해시,경상남도 김해시 가야테마길 254
남해보물섬전망대,경남 남해군,경상남도 남해군 삼동면 동부대로 720
미래사(통영),경남 통영시,경상남도 통영시 산양읍 미륵산길 192
칠탄서원,경남 밀양시,경상남도 밀양시 단장면 활성로 313-1
문수암(고성),경남 고성군,경상남도 고성군 상리면 무선2길 808
충렬사,경남 통영시,경상남도 통영시 여황로 251
기백산 용추계곡과 용추폭포,경남 함양군,경상남도 함양군 안의면 상원리
남일대해수욕장,경남 사천시,경상남도 사천시 향촌동
남계서원 [유네스코 세계문화유산],경남 함양군,경상남도 함양군 수동면 남계서원길 8-11
금산(남해),경남 남해군,경상남도 남해군 이동면 보리암로 586
생초국제조각공원,경남 산청군,경상남도 산청군 생초면 산수로 1064
미륵산(통영),경남 통영시,경상남도 통영시 봉수돌샘길 115
거제 어구낚시마을,경남 거제시,경상남도 거제시 둔덕면 어구길 2-3
한려해상국립공원(사천),경남 사천시,경상남도 사천시 늑도동
국립 지리산자연휴양림,경남 함양군,경상남도 함양군 마천면 음정길 152
진영 봉하마을과 노무현 대통령 생가,경남 김해시,경상남도 김해시 진영읍 봉하로 129
공곶이,경남 거제시,경상남도 거제시 일운면 와현로 257
봉하마을,경남 김해시,경상남도 김해시 진영읍 봉하로 122-15
한려해상국립공원(거제),경남 거제시,경상남도 거제시 장승포동
창선대교타운,경남 남해군,경상남도 남해군 창선면 동부대로2964번길
대원사계곡,경남 산청군,경상남도 산청군 삼장면 유평리
청마거리,경남 통영시,경남 통영시 중앙동
청학동 명륜학당,경남 하동군,경상남도 하동군 청암면 청학로 2359-12
윤이상 거리,경남 통영시,경상남도 통영시 박효자길 1
재약산,경남 밀양시,경상남도 밀양시 단장면 구천리
함안 채미정,경남 함안군,경상남도 함안군 군북면 사군로 1216
수양공원 (구 산성공원),경남 사천시,경상남도 사천시 사천읍 수양공원길 51
장복산조각공원,경남 창원시,경상남도 창원시 진해구 장복산길 56-42
문수암 (산청),경남 산청군,경상남도 산청군 시천면 마근담길 173-17
수우도,경남 통영시,경상남도 통영시 사량면 돈지리
조도,경남 남해군,경상남도 남해군 미조면 조도길 5-10
거제도해수보양온천,경남 거제시,경상남도 거제시 수양로 507
통영 삼도수군통제영,경남 통영시,경상남도 통영시 세병로 27
굿데이뮤지엄,경남 창원시,경상남도 창원시 마산회원구 봉암공단2길 22
사명대사 생가지,경남 밀양시,경상남도 밀양시 무안면 사명대사생가로 642
거제자연예술랜드,경남 거제시,경남 거제시 동부면 구천리
숲옛마을(갈계),경남 거창군,경상남도 거창군 북상면 송계로 738
삼가향교,경남 합천군,경상남도 합천군 삼가면 소오2길 18-5
송담서원(양산),경남 양산시,경상남도 양산시 물금읍 가촌서2길 14-13
지리산 천왕봉,경남 산청군,경상남도 산청군 시천면 지리산대로
남해 냉천갯벌체험장,경남 남해군,경상남도 남해군 창선면 동부대로 2810-13
월성계곡,경남 거창군,경남 거창군 북상면 월성리
평사리공원,경남 하동군,경상남도 하동군 악양면 섬진강대로 3145-1
김해생태체험학교 참빛,경남 김해시,경상남도 김해시 한림면 가동로103번길 44-16
거제 외간리 동백나무,경남 거제시,경상남도 거제시 거제면 외간1길 52
서암정사(함양),경남 함양군,경상남도 함양군 마천면 광점길 27-79
밀양아리랑 우주천문대,경남 밀양시,경상남도 밀양시 밀양대공원로 86
팔용산 돌탑,경남 창원시,경남 창원시 마산회원구 봉암동
금원산자연휴양림,경남 거창군,경상남도 거창군 위천면 금원산길 412
남해나비생태공원,경남 남해군,경상남도 남해군 삼동면 금암로 562-23
통도 아쿠아 환타지아,경남 양산시,경상남도 양산시 하북면 통도7길 68
삼거동 청사초롱 체험마을,경남 거제시,경상남도 거제시 거제중앙로 1274
관음사(창녕),경남 창녕군,경상남도 창녕군 도천면 영산도천로 11-14
홍류동계곡,경남 합천군,경상남도 합천군 가야면 가야산로 1502-9
화림동계곡,경남 함양군,경상남도 함양군 안의면
장유대청계곡,경남 김해시,경남 김해시 장유면 월산로
여차해변 (여차몽돌해수욕장),경남 거제시,경상남도 거제시 남부면 여차길
옥포대첩기념공원,경남 거제시,경상남도 거제시 팔랑포2길 87
추도,경남 통영시,경상남도 통영시 산양읍 추도리
거제 알로에테마파크,경남 거제시,경상남도 거제시 거제면 거제남서로 3937
홍룡폭포,경남 양산시,경상남도 양산시 상북면 홍룡로 372
수로왕릉,경남 김해시,경상남도 김해시 가락로93번길 26
오도재와 지리산조망공원,경남 함양군,경상남도 함양군 마천면 지리산가는길 534
일붕사(의령),경남 의령군,경상남도 의령군 궁류면 청정로 1180-42
악양루,경남 함안군,경상남도 함안군 대산면 대법로 331-1
통도환타지아,경남 양산시,경상남도 양산시 하북면 통도7길 68
사천읍성,경남 사천시,경상남도 사천시 사천읍 수양공원길 51
남해대교유람선,경남 남해군,경상남도 남해군 설천면 노량로 177
내원사(양산),경남 양산시,경상남도 양산시 하북면 내원로 207
함안 말이산 고분군,경남 함안군,경상남도 함안군 가야읍 본동길 114
통영 연명어촌체험마을,경남 통영시,경상남도 통영시 산양읍 연명길 134
정암루(솥바위),경남 의령군,경상남도 의령군 의령읍 남강로 686
죽림해수욕장,경남 거제시,경상남도 거제시 거제면 오수리
불일폭포,경남 하동군,경상남도 하동군 화개면 목압길
한신계곡(백무동계곡),경남 함양군,경남 함양군 마천면 강청길
산청·함양사건 추모공원,경남 산청군,경상남도 산청군 금서면 화계오봉로 530
창원단감테마공원,경남 창원시,경상남도 창원시 의창구 동읍 동읍로359번길 27
거창 Y자형 출렁다리,경남 거창군,경상남도 거창군 가조면 의상봉길 830
노산공원,경남 사천시,경상남도 사천시 등대길 103
화개천계곡,경남 하동군,경상남도 하동군 화개면 쌍계로 199-9
황산전통한옥마을,경남 거창군,경상남도 거창군 위천면 황산2길 19
한려해상국립공원(통영),경남 통영시,경상남도 통영시 산양읍
중산리자연휴양림,경남 산청군,경상남도 산청군 시천면 지리산대로 496-101
지리산역사관,경남 하동군,경상남도 하동군 화개면 화개로 1438
창녕 진양하씨 고택,경남 창녕군,경상남도 창녕군 창녕읍 시장1길 63
반곡서원(거제),경남 거제시,경상남도 거제시 거제면 동상3길 31-8
무진정(함안),경남 함안군,경상남도 함안군 함안면 괴산4길 25
홍룡사(양산),경남 양산시,경상남도 양산시 상북면 홍룡로 372
창원 진해우체국,경남 창원시,경상남도 창원시 진해구 백구로 40
통영유람선,경남 통영시,경상남도 통영시 도남로 269-38
거제시농업개발원,경남 거제시,경상남도 거제시 거제면 거제남서로 3577
"여차,홍포간 해안도로",경남 거제시,경상남도 거제시 남부면
예림서원,경남 밀양시,경상남도 밀양시 부북면 예림서원로 128
김해 분산성,경남 김해시,경상남도 김해시 어방동
통영마리나리조트,경남 통영시,경상남도 통영시 큰발개1길 33
거제 관광모노레일,경남 거제시,경상남도 거제시 계룡로 61
"가야산국립공원(홍류동,청량동지구)",경남 합천군,경상남도 합천군 가야면 가야산로 1200
밀양 평리산대추정보화 마을,경남 밀양시,경상남도 밀양시 단장면 고례4길 7-3
남악서원,경남 진주시,경상남도 진주시 금곡면 죽곡길 102
함목몽돌해변,경남 거제시,경상남도 거제시 남부면 함목길
만화방초,경남 고성군,경상남도 고성군 거류면 은황길 82-91
사천 대포어촌체험마을,경남 사천시,경상남도 사천시 대포길 255
장척계곡,경남 김해시,경상남도 김해시 상동면 장척로 544
외도 구조라 유람선,경남 거제시,경상남도 거제시 일운면 구조라로 38
거제정글돔,경남 거제시,경상남도 거제시 거제면 거제남서로 3595
오두산 치유숲,경남 고성군,경상남도 고성군 상리면 신촌리
지리산국립공원,경남 산청군,경상남도 산청군 시천면 남명로 376
고운동계곡,경남 산청군,경상남도 산청군 시천면 반천로
창녕군 우포늪,경남 창녕군,경상남도 창녕군 유어면 우포늪길 220
밀양댐 물 문화관,경남 밀양시,경상남도 밀양시 단장면 고례2길 79-10
가야의 거리,경남 김해시,경상남도 김해시 봉황동
관룡사,경남 창녕군,경상남도 창녕군 창녕읍 화왕산관룡사길 171
옥천사(고성),경남 고성군,경상남도 고성군 개천면 연화산1로 471-9
덕유산국립공원(남덕유분소),경남 거창군,경남 거창군 북상면 소정리
