name,region,address
서울식물원,서울 강서구,서울특별시 강서구 마곡동로 161
동대문역사문화공원,서울 중구,서울특별시 중구 을지로 281
경복궁,서울 종로구,서울특별시 종로구 사직로 161
서울숲,서울 성동구,서울특별시 성동구 뚝섬로 273
남산서울타워,서울 용산구,서울특별시 용산구 남산공원길 105
서울 경교장,서울 종로구,서울특별시 종로구 새문안로 29
북촌한옥마을,서울 종로구,서울특별시 종로구 계동길 37
롯데월드,서울 송파구,서울특별시 송파구 올림픽로 240
낙산공원,서울 종로구,서울특별시 종로구 낙산길 41
삼성산성지,서울 관악구,서울특별시 관악구 호암로 454-16
덕수궁,서울 중구,서울특별시 중구 세종대로 99
대림동 차이나타운,서울 영등포구,서울특별시 영등포구 대림동
명동,서울 중구,서울특별시 중구 을지로 66
월드컵공원,서울 마포구,서울특별시 마포구 월드컵로 243-60
창덕궁과 후원 [유네스코 세계문화유산],서울 종로구,서울특별시 종로구 율곡로 99
롯데월드타워 서울스카이,서울 송파구,서울특별시 송파구 올림픽로 300
청계천,서울 중구,서울특별시 종로구 창신동
홍대,서울 마포구,서울특별시 마포구 홍익로 20
동대문디자인플라자(DDP),서울 중구,서울특별시 중구 을지로 281
세빛섬,서울 서초구,서울특별시 서초구 올림픽대로 683
서울로 7017,서울 중구,서울특별시 중구 한강대로 405
올림픽공원,서울 송파구,서울특별시 송파구 올림픽로 424
이랜드크루즈 (한강유람선),서울 영등포구,서울특별시 영등포구 여의동로 290
놀이똥산,서울 종로구,서울특별시 종로구 인사동5길 41
서울 몽촌토성,서울 송파구,서울특별시 송파구 올림픽로 424
창경궁,서울 종로구,서울특별시 종로구 창경궁로 185
레일크루즈 해랑열차,서울 용산구,서울특별시 용산구 한강대로 405
용마폭포공원,서울 중랑구,서울특별시 중랑구 용마산로 250-12
인사동,서울 종로구,서울특별시 종로구 인사동길 62
송파나루공원(석촌호수),서울 송파구,서울특별시 송파구 삼학사로 136
북정마을,서울 성북구,서울특별시 성북구 성북로23길 132-3
평화열차 DMZ 트레인,서울 용산구,서울특별시 용산구 한강대로23길 55
북악스카이 팔각정,서울 종로구,서울특별시 종로구 북악산로 267
아차산,서울 광진구,서울특별시 광진구 영화사로 135
서래마을,서울 서초구,서울특별시 서초구 반포동
양천향교,서울 강서구,서울특별시 강서구 양천로47나길 53
종묘 [유네스코 세계문화유산],서울 종로구,서울특별시 종로구 종로 157
경희궁,서울 종로구,서울특별시 종로구 새문안로 55
이태원 관광특구,서울 용산구,서울특별시 용산구 이태원로 196
반포한강공원,서울 서초구,서울특별시 서초구 신반포로11길 40
불암산,서울 노원구,서울특별시 노원구 덕릉로130가길 22
남산골한옥마을,서울 중구,서울특별시 중구 퇴계로34길 28
문화역 서울 284,서울 중구,서울특별시 중구 통일로 1
서울함공원,서울 마포구,서울특별시 마포구 마포나루길 407
한강시민공원 여의도지구(여의도한강공원),서울 영등포구,서울특별시 영등포구 여의동로 330
광화문,서울 종로구,서울특별시 종로구 사직로 161
화랑대 철도공원,서울 노원구,서울특별시 노원구 공릉동
반포대교 달빛무지개분수,서울 서초구,서울특별시 서초구 신반포로11길 40
서해금빛열차,서울 용산구,서울특별시 용산구 한강대로23길 55
서대문독립공원,서울 서대문구,서울특별시 서대문구 통일로 251
부암동,서울 종로구,서울특별시 종로구 창의문로 145
챔피언1250,서울 용산구,서울특별시 용산구 한강대로21나길 17
서울 동대문 닭한마리 골목,서울 종로구,서울특별시 종로구 종로40가길 14
백사실계곡,서울 종로구,서울 종로구 부암동 115
서촌마을,서울 종로구,서울특별시 종로구 자하문로6길 16
롯데월드타워&롯데월드몰,서울 송파구,서울특별시 송파구 올림픽로 300
"서울 구 벨기에영사관(현, 서울시립미술관 남서울생활미술관)",서울 관악구,서울특별시 관악구 남부순환로 2076
덕수궁 돌담길,서울 중구,서울특별시 중구 세종대로 지하 101
홍릉수목원,서울 동대문구,서울특별시 동대문구 회기로 57
여의도샛강생태공원,서울 영등포구,서울특별시 영등포구 여의동로 48
서울 선릉(성종과 정현왕후)과 정릉(중종) [유네스코 세계문화유산],서울 강남구,서울특별시 강남구 선릉로100길 1
마포 문화비축기지,서울 마포구,서울특별시 마포구 증산로 87
와룡공원,서울 종로구,서울특별시 종로구 와룡공원길 192
북서울 꿈의숲,서울 강북구,서울특별시 강북구 월계로 173
신사동 가로수길,서울 강남구,서울특별시 강남구 신사동
북한산국립공원(서울),서울 성북구,서울특별시 성북구 보국문로 262
남대문 갈치조림골목,서울 중구,서울특별시 중구 남대문시장2가길 7
남산 야외식물원,서울 용산구,서울특별시 용산구 소월로 323
국립4.19민주묘지,서울 강북구,서울특별시 강북구 4.19로8길 17
국립서울현충원,서울 동작구,서울특별시 동작구 현충로 210
봉은사(서울),서울 강남구,서울특별시 강남구 봉은사로 531
남산 케이블카,서울 중구,서울특별시 중구 소파로 83
하늘공원,서울 마포구,서울특별시 마포구 하늘공원로 95
서울어린이대공원,서울 광진구,서울특별시 광진구 능동로 216
진관사계곡,서울 은평구,서울특별시 은평구 진관길 73
한강시민공원 난지지구(난지한강공원),서울 마포구,서울특별시 마포구 한강난지로 162
금선사(서울),서울 종로구,서울특별시 종로구 비봉길 137
남산 팔각정,서울 용산구,서울특별시 용산구 남산공원길 105
길상사(서울),서울 성북구,서울특별시 성북구 선잠로5길 68
영등포 신길동 홍어거리,서울 영등포구,서울특별시 영등포구 신길로 200-20
아쿠아플라넷 63,서울 영등포구,서울특별시 영등포구 63로 50
서서울호수공원,서울 양천구,서울특별시 양천구 남부순환로64길 20
몽마르뜨공원,서울 서초구,서울특별시 서초구 반포대로37길 59
서울 운현궁,서울 종로구,서울특별시 종로구 삼일대로 464
연남동 공방거리,서울 마포구,서울특별시 마포구 성미산로28길
북촌 8경,서울 종로구,서울특별시 종로구 계동길 37
서울 애니메이션센터,서울 중구,서울특별시 중구 소공로 48
다이나믹 메이즈 (서울 인사동점),서울 종로구,서울특별시 종로구 인사동길 12
숭례문,서울 중구,서울특별시 중구 세종대로 40
정동전망대,서울 중구,서울특별시 중구 덕수궁길 15
관악산공원 야외식물원,서울 관악구,서울 관악구 대학동 203번지 일대
용산가족공원,서울 용산구,서울특별시 용산구 서빙고로 185
대원군별장,서울 종로구,서울특별시 종로구 자하문로 309
서울창포원,서울 도봉구,서울특별시 도봉구 마들로 916
신촌 플레이버스,서울 서대문구,서울특별시 서대문구 연세로5길 11
63스퀘어,서울 영등포구,서울특별시 영등포구 63로 50
쌈지길,서울 종로구,서울특별시 종로구 인사동길 44
구룡산(서울),서울 서초구,서울특별시 서초구 염곡동
자양동 양꼬치거리 (중국음식문화거리),서울 광진구,서울특별시 광진구 자양동
서울풍물시장 전통문화체험관,서울 동대문구,서울특별시 동대문구 천호대로4길 21
광화문광장,서울 종로구,서울특별시 종로구 세종대로 172
대학로,서울 종로구,서울특별시 종로구 혜화로 12
신당동 떡볶이 골목,서울 중구,서울특별시 중구 다산로33길 10-18
드래곤힐스파(용산),서울 용산구,서울특별시 용산구 한강대로21나길 40
VR스테이션,서울 강남구,서울특별시 강남구 강남대로 364
삼청동길,서울 종로구,서울특별시 종로구 삼청로 107
한강방어백골부대전적비,서울 영등포구,서울특별시 영등포구 양화동
서울 삼각지 대구탕 골목,서울 용산구,서울특별시 용산구 한강대로 182
불국사,서울 강남구,서울특별시 강남구 광평로10길 30-71
한강시민공원 뚝섬지구(뚝섬한강공원),서울 광진구,서울특별시 광진구 강변북로 139
더 스파 인 가든파이브,서울 송파구,서울특별시 송파구 충민로 10
서울 약현성당,서울 중구,서울특별시 중구 청파로 447-1
서울 명동성당,서울 중구,서울특별시 중구 명동길 74
만해한용운심우장,서울 성북구,서울특별시 성북구 성북로29길 24
옥천암(서울),서울 서대문구,서울특별시 서대문구 홍지문길 1-38
관악산,서울 관악구,서울특별시 관악구 관악로
봉원사(서울),서울 서대문구,서울특별시 서대문구 봉원사길 120
서울광장,서울 중구,서울특별시 중구 세종대로 110
성락원(서울),서울 성북구,서울특별시 성북구 선잠로2길 47
삼성 딜라이트,서울 서초구,서울특별시 서초구 서초대로74길 11
