name,region,address,lat,lon
군산근대역사박물관,전북 군산시,전라북도 군산시 해망로 240,35.99081903,126.7119523
남원시립김병종미술관,전북 남원시,전라북도 남원시 함파우길 65-14,35.39870644,127.3895546
고창고인돌박물관,전북 고창군,전라북도 고창군 고창읍 고인돌공원길 74,35.44169795,126.6524975
채만식 문학관,전북 군산시,전라북도 군산시 강변로 449,36.008661,126.7578903
국립태권도원,전북 무주군,전라북도 무주군 설천면 무설로 1482,36.00931149,127.7786624
국립전주박물관,전북 전주시,전라북도 전주시 완산구 쑥고개로 249,35.80103866,127.0883735
전주 전통술박물관,전북 전주시,전라북도 전주시 완산구 한지길 74,35.81685036,127.1534667
부안청자박물관,전북 부안군,전라북도 부안군 보안면 청자로 1493,35.61149913,126.6513338
전주 덕진예술회관,전북 전주시,전라북도 전주시 덕진구 권삼득로 407,35.84775174,127.119375
전주 추억박물관,전북 전주시,전라북도 전주시 완산구 경원동1가 전동성당길 8,35.81852909,127.1484802
동학농민혁명기념관,전북 정읍시,전라북도 정읍시 덕천면 동학로 742,35.63370584,126.8301188
전주한벽문화관,전북 전주시,전라북도 전주시 완산구 전주천동로 20,35.81224642,127.1590306
국립익산박물관,전북 익산시,전라북도 익산시 금마면 미륵사지로 362,36.01155117,127.0287139
내장산 탐방안내소,전북 정읍시,전라북도 정읍시 내장산로 1207,35.48790912,126.9074759
고창판소리박물관,전북 고창군,전라북도 고창군 고창읍 동리로 100,35.43237353,126.7026295
전주한지박물관,전북 전주시,전라북도 전주시 덕진구 팔복로 59,35.84512928,127.0967046
순창장류박물관,전북 순창군,전라북도 순창군 순창읍 장류로 43,35.36959372,127.1110918
마동도서관,전북 익산시,전라북도 익산시 선화1로 99,35.94007131,126.9686914
고창문화의전당,전북 고창군,전라북도 고창군 고창읍 모양성로 11,35.43338075,126.7045756
전주자연생태관,전북 전주시,전라북도 전주시 완산구 바람쐬는길 21,35.81159258,127.1625872
전주역사박물관,전북 전주시,전라북도 전주시 완산구 쑥고개로 259,35.8011446,127.0933286
무주곤충박물관,전북 무주군,전라북도 무주군 설천면 무설로 1324,36.01249047,127.7611881
진안역사박물관,전북 진안군,전라북도 진안군 진안읍 내사양길 7,35.77255631,127.4171648
어진박물관,전북 전주시,전라북도 전주시 완산구 태조로 44,35.815519,127.1501202
익산시솜리문화예술회관,전북 익산시,전라북도 익산시 선화1로 106,35.93909935,126.9684516
위도띠뱃놀이 전수관,전북 부안군,전라북도 부안군 위도면 대장길 15-15,35.57770746,126.2652061
전북도립미술관,전북 완주군,전라북도 완주군 구이면 모악산길 111-6,35.72770556,127.1069245
국립군산대학교 박물관,전북 군산시,전라북도 군산시 대학로 558,35.95034571,126.6803568
익산문화원,전북 익산시,전라북도 익산시 선화로 529,35.94849648,126.9882513
석정문학관,전북 부안군,전라북도 부안군 부안읍 선은1길 10,35.73991758,126.7353809
부안댐 물문화관,전북 부안군,전라북도 부안군 변산면 부안댐로 280-26,35.675679,126.564483
전주공예품전시관,전북 전주시,전라북도 전주시 완산구 태조로 15,35.81439156,127.1530924
전주완산도서관,전북 전주시,전라북도 전주시 완산구 곤지산4길 12,35.8092414,127.1475428
장미갤러리,전북 군산시,전라북도 군산시 해망로 232,35.99015331,126.7124878
옻칠목공체험관광협동조합,전북 남원시,전라북도 남원시 충정로 65,35.41277804,127.381027
전라북도산림박물관,전북 순창군,전라북도 순창군 복흥면 추령로 1777,35.47714115,126.9257287
전주공예명인관,전북 전주시,전라북도 전주시 완산구 한지길 68-3,35.81715803,127.1534054
장수 한누리전당,전북 장수군,전라북도 장수군 장수읍 한누리로 393,35.64111386,127.5181103
벽골제 농경문화 박물관,전북 김제시,전라북도 김제시 부량면 벽골제로 442,35.75462558,126.8531043
남원문화원,전북 남원시,전라북도 남원시 광한북로 57,35.4080722,127.3793315
구파백정기의사기념관,전북 정읍시,전라북도 정읍시 영원면 영원로 1049,35.65219943,126.7832391
농업과학관,전북 전주시,전라북도 전주시 완산구 농생명로 300,35.831422,127.056254
전주한방문화센터,전북 전주시,전라북도 전주시 완산구 은행로 53,35.81522596,127.15273
전라북도예술회관,전북 전주시,전라북도 전주시 완산구 팔달로 161,35.81682307,127.1471092
